variant_id,run_id,policy,kwargs,complexity,note,total_calls,w_avg_p50_resp_min,w_avg_p90_resp_min,w_avg_avg_resp_min,units,kpi_shifts
baseline_p1,baseline_p1_20251130T154218Z,nearest_eta,{},1,baseline,63185.0,4.903203861828523,10.610336468660284,5.921021935070065,30.0,2713.0
baseline_p2,baseline_p2_20251130T154231Z,p2_als_bls,{},2,baseline,63185.0,4.941902338510967,10.957292239166648,6.049053378986073,30.0,2713.0
baseline_p3,baseline_p3_20251130T154301Z,p3_coverage,{},3,baseline,63185.0,6.590089437948141,16.08867993594334,8.210876353481892,30.0,2713.0
baseline_p4,baseline_p4_20251130T154316Z,p4_fairness,{},3,baseline,63185.0,4.918228627664276,11.193068047056135,6.1188406067548,30.0,2713.0
baseline_p5,baseline_p5_20251130T154403Z,p5_hybrid,{},4,baseline,63185.0,5.883626551677103,12.253834086950496,6.84992439468961,30.0,2713.0
ff_als,ff_als_20251130T155411Z,feature_flag,{'use_als_guard': True},2,bottom_up,63185.0,4.8993568175884645,10.708377701801828,5.969771943317013,30.0,2713.0
ff_als_coverage,ff_als_coverage_20251130T155950Z,feature_flag,"{'use_als_guard': True, 'use_coverage_call': True}",3,bottom_up,63185.0,4.9922917825472926,10.820523449759907,6.022388841290962,30.0,2713.0
ff_als_coverage,ff_als_coverage_20251130T155950Z,feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True}",3,bottom_up,63185.0,4.9922917825472926,10.820523449759907,6.022388841290962,30.0,2713.0
ff_als_coverage_coverage,ff_als_coverage_coverage_20251130T162052Z,feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True}",4,bottom_up,63185.0,4.9840847395304655,11.075144827189236,6.089302622981585,30.0,2713.0
ff_als_coverage_coverage_fairness,ff_als_coverage_coverage_fairness_20251130T213942Z,feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_fairness': True}",5,bottom_up,63185.0,4.9840847395304655,11.075144827189236,6.089302622981585,30.0,2713.0
ff_als_coverage_coverage_fairness,ff_als_coverage_coverage_fairness_20251130T213942Z,feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_fairness_weight': True}",5,bottom_up,63185.0,4.9840847395304655,11.075144827189236,6.089302622981585,30.0,2713.0
ff_als_coverage_coverage_fairness_fairness,ff_als_coverage_coverage_fairness_fairness_20251130T230035Z,feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_fairness': True, 'use_fairness_weight': True}",6,bottom_up,63185.0,4.978301692368524,11.260997793419833,6.144431514216427,30.0,2713.0
ff_als_coverage_coverage_fairness_fairness_zone,ff_als_coverage_coverage_fairness_fairness_zone_20251201T000816Z,feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_fairness': True, 'use_fairness_weight': True, 'use_zone_weights': True}",7,bottom_up,63185.0,4.98748106204616,11.251827869693992,6.152885026422273,30.0,2713.0
ff_als_coverage_coverage_fairness_zone,ff_als_coverage_coverage_fairness_zone_20251130T230207Z,feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_fairness': True, 'use_zone_weights': True}",6,bottom_up,63185.0,4.974680323721138,11.079853034046335,6.098677956146695,30.0,2713.0
