variant_id,policy,kwargs,note,run_id,w_avg_p50_resp_min_normalized,w_avg_p90_resp_min_normalized,w_avg_avg_resp_min_normalized,kpi_shifts_normalized,units_normalized,total_calls_normalized,complexity_normalized,is_pareto,n_dominated_by,n_dominates
baseline_p1,nearest_eta,{},baseline,baseline_p1_20251130T154218Z,0.0022753711578829,0.0,0.0,0.0,0.0,0.0,0.0,True,0,472
baseline_p2,p2_als_bls,{},baseline,baseline_p2_20251130T154231Z,0.0251639557965417,0.0633322413204651,0.055912481984251,0.0,0.0,0.0,0.1111111111111111,False,1,0
baseline_p3,p3_coverage,{},baseline,baseline_p3_20251130T154301Z,1.0,1.0,1.0,0.0,0.0,0.0,0.2222222222222222,False,1,0
baseline_p4,p4_fairness,{},baseline,baseline_p4_20251130T154316Z,0.0111619127995513,0.1063700335468109,0.0863891914237657,0.0,0.0,0.0,0.2222222222222222,False,1,0
baseline_p5,p5_hybrid,{},baseline,baseline_p5_20251130T154403Z,0.5821557603113203,0.2999990103039838,0.4056600507659361,0.0,0.0,0.0,0.3333333333333333,False,1,0
ff_als,feature_flag,{'use_als_guard': True},bottom_up,ff_als_20251130T155411Z,0.0,0.017896145746803,0.0212895666444854,0.0,0.0,0.0,0.1111111111111111,True,0,69
ff_als_coverage,feature_flag,"{'use_als_guard': True, 'use_coverage_call': True}",bottom_up,ff_als_coverage_20251130T155950Z,0.0549672750378812,0.0383668863324963,0.0442678387786774,0.0,0.0,0.0,0.2222222222222222,False,1,0
ff_als_coverage,feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True}",bottom_up,ff_als_coverage_20251130T155950Z,0.0549672750378812,0.0383668863324963,0.0442678387786774,0.0,0.0,0.0,0.2222222222222222,False,1,0
ff_als_coverage_coverage,feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True}",bottom_up,ff_als_coverage_coverage_20251130T162052Z,0.0501131408489513,0.0848446909736147,0.0734896884965443,0.0,0.0,0.0,0.3333333333333333,False,1,0
ff_als_coverage_coverage_fairness,feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_fairness': True}",bottom_up,ff_als_coverage_coverage_fairness_20251130T213942Z,0.0501131408489513,0.0848446909736147,0.0734896884965443,0.0,0.0,0.0,0.4444444444444444,False,1,0
ff_als_coverage_coverage_fairness,feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_fairness_weight': True}",bottom_up,ff_als_coverage_coverage_fairness_20251130T213942Z,0.0501131408489513,0.0848446909736147,0.0734896884965443,0.0,0.0,0.0,0.4444444444444444,False,1,0
ff_als_coverage_coverage_fairness_fairness,feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_fairness': True, 'use_fairness_weight': True}",bottom_up,ff_als_coverage_coverage_fairness_fairness_20251130T230035Z,0.0466927022223452,0.118769720928476,0.0975649706592754,0.0,0.0,0.0,0.5555555555555556,False,1,0
ff_als_coverage_coverage_fairness_fairness_zone,feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_fairness': True, 'use_fairness_weight': True, 'use_zone_weights': True}",bottom_up,ff_als_coverage_coverage_fairness_fairness_zone_20251201T000816Z,0.0521219283265194,0.1170958711998849,0.1012566953985753,0.0,0.0,0.0,0.6666666666666666,False,1,0
ff_als_coverage_coverage_fairness_zone,feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_fairness': True, 'use_zone_weights': True}",bottom_up,ff_als_coverage_coverage_fairness_zone_20251130T230207Z,0.0445508090549821,0.0857041126008305,0.0775839807317737,0.0,0.0,0.0,0.5555555555555556,False,1,0
ff_als_coverage_coverage_fairness_zone,feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_fairness_weight': True, 'use_zone_weights': True}",bottom_up,ff_als_coverage_coverage_fairness_zone_20251130T230207Z,0.0445508090549821,0.0857041126008305,0.0775839807317737,0.0,0.0,0.0,0.5555555555555556,False,1,0
ff_als_coverage_coverage_guardrail,feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_guardrail': True}",bottom_up,ff_als_coverage_coverage_guardrail_20251130T213641Z,0.5101383653063208,0.2533400889324667,0.3609555697292708,0.0,0.0,0.0,0.4444444444444444,False,1,0
ff_als_coverage_coverage_guardrail_fairness,feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_guardrail': True, 'use_fairness': True}",bottom_up,ff_als_coverage_coverage_guardrail_fairness_20251130T225648Z,0.5101383653063208,0.2533400889324667,0.3609555697292708,0.0,0.0,0.0,0.5555555555555556,False,1,0
ff_als_coverage_coverage_guardrail_fairness,feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_guardrail': True, 'use_fairness_weight': True}",bottom_up,ff_als_coverage_coverage_guardrail_fairness_20251130T225648Z,0.5101383653063208,0.2533400889324667,0.3609555697292708,0.0,0.0,0.0,0.5555555555555556,False,1,0
ff_als_coverage_coverage_guardrail_fairness_fairness,feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_guardrail': True, 'use_fairness': True, 'use_fairness_weight': True}",bottom_up,ff_als_coverage_coverage_guardrail_fairness_fairness_20251201T000344Z,0.5152695904544154,0.2399153666143226,0.3507526325938429,0.0,0.0,0.0,0.6666666666666666,False,1,0
ff_als_coverage_coverage_guardrail_fairness_fairness_zone,feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_guardrail': True, 'use_fairness': True, 'use_fairness_weight': True, 'use_zone_weights': True}",bottom_up,ff_als_coverage_coverage_guardrail_fairness_fairness_zone_20251201T004111Z,0.5066083228708002,0.2417855293742778,0.3467728344423165,0.0,0.0,0.0,0.7777777777777778,False,1,0
ff_als_coverage_coverage_guardrail_fairness_zone,feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_guardrail': True, 'use_fairness': True, 'use_zone_weights': True}",bottom_up,ff_als_coverage_coverage_guardrail_fairness_zone_20251201T000513Z,0.5141007743586936,0.2584112686222373,0.3606240036003264,0.0,0.0,0.0,0.6666666666666666,False,1,0
ff_als_coverage_coverage_guardrail_fairness_zone,feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_guardrail': True, 'use_fairness_weight': True, 'use_zone_weights': True}",bottom_up,ff_als_coverage_coverage_guardrail_fairness_zone_20251201T000513Z,0.5141007743586936,0.2584112686222373,0.3606240036003264,0.0,0.0,0.0,0.6666666666666666,False,1,0
ff_als_coverage_coverage_guardrail_urban,feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_guardrail': True, 'use_urban_boost': True}",bottom_up,ff_als_coverage_coverage_guardrail_urban_20251130T225518Z,0.4957377564299101,0.2497505663825769,0.3446323962670651,0.0,0.0,0.0,0.5555555555555556,False,1,0
ff_als_coverage_coverage_guardrail_urban_fairness,feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_guardrail': True, 'use_urban_boost': True, 'use_fairness': True}",bottom_up,ff_als_coverage_coverage_guardrail_urban_fairness_20251201T000213Z,0.4957377564299101,0.2497505663825769,0.3446323962670651,0.0,0.0,0.0,0.6666666666666666,False,1,0
ff_als_coverage_coverage_guardrail_urban_fairness,feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_guardrail': True, 'use_urban_boost': True, 'use_fairness_weight': True}",bottom_up,ff_als_coverage_coverage_guardrail_urban_fairness_20251201T000213Z,0.4957377564299101,0.2497505663825769,0.3446323962670651,0.0,0.0,0.0,0.6666666666666666,False,1,0
